1_0000000 1_00000000000000000 0_11111111000
1_0000001 0_11111110000001000 0_11111011001
1_0000010 0_11111100000011111 0_11110111010
1_0000011 0_11111010001000110 0_11110011100
1_0000100 0_11111000001111100 0_11101111110
1_0000101 0_11110110011000000 0_11101100010
1_0000110 0_11110100100010011 0_11101000110
1_0000111 0_11110010101110011 0_11100101010
1_0001000 0_11110000111100010 0_11100001111
1_0001001 0_11101111001011101 0_11011110101
1_0001010 0_11101101011100110 0_11011011100
1_0001011 0_11101011101111011 0_11011000010
1_0001100 0_11101010000011101 0_11010101010
1_0001101 0_11101000011001011 0_11010010010
1_0001110 0_11100110110000101 0_11001111010
1_0001111 0_11100101001001011 0_11001100011
1_0010000 0_11100011100011100 0_11001001101
1_0010001 0_11100001111111001 0_11000110110
1_0010010 0_11100000011100000 0_11000100001
1_0010011 0_11011110111010011 0_11000001100
1_0010100 0_11011101011001111 0_10111110111
1_0010101 0_11011011111010111 0_10111100010
1_0010110 0_11011010011101000 0_10111001110
1_0010111 0_11011001000000011 0_10110111011
1_0011000 0_11010111100101000 0_10110101000
1_0011001 0_11010110001010111 0_10110010101
1_0011010 0_11010100110001111 0_10110000010
1_0011011 0_11010011011010000 0_10101110000
1_0011100 0_11010010000011010 0_10101011110
1_0011101 0_11010000101101101 0_10101001101
1_0011110 0_11001111011001001 0_10100111100
1_0011111 0_11001110000101101 0_10100101011
1_0100000 0_11001100110011001 0_10100011011
1_0100001 0_11001011100001110 0_10100001010
1_0100010 0_11001010010001011 0_10011111011
1_0100011 0_11001001000010000 0_10011101011
1_0100100 0_11000111110011100 0_10011011100
1_0100101 0_11000110100110000 0_10011001101
1_0100110 0_11000101011001011 0_10010111110
1_0100111 0_11000100001101110 0_10010110000
1_0101000 0_11000011000011000 0_10010100001
1_0101001 0_11000001111001001 0_10010010011
1_0101010 0_11000000110000001 0_10010000110
1_0101011 0_10111111101000000 0_10001111000
1_0101100 0_10111110100000110 0_10001101011
1_0101101 0_10111101011010010 0_10001011110
1_0101110 0_10111100010100101 0_10001010001
1_0101111 0_10111011001111110 0_10001000101
1_0110000 0_10111010001011101 0_10000111000
1_0110001 0_10111001001000010 0_10000101100
1_0110010 0_10111000000101110 0_10000100000
1_0110011 0_10110111000011111 0_10000010100
1_0110100 0_10110110000010111 0_10000001001
1_0110101 0_10110101000010100 0_01111111101
1_0110110 0_10110100000010110 0_01111110010
1_0110111 0_10110011000011111 0_01111100111
1_0111000 0_10110010000101100 0_01111011100
1_0111001 0_10110001001000000 0_01111010010
1_0111010 0_10110000001011000 0_01111000111
1_0111011 0_10101111001110110 0_01110111101
1_0111100 0_10101110010011000 0_01110110011
1_0111101 0_10101101011000000 0_01110101001
